city,state_id,state_name,county_name,population
Leith,ND,North Dakota,Grant,1455
New Leipzig,ND,North Dakota,Grant,2280
Braddock,ND,North Dakota,Emmons,3184
Hague,ND,North Dakota,Emmons,2728
Hazelton,ND,North Dakota,Emmons,471
Linton,ND,North Dakota,Emmons,2469
Fredonia,ND,North Dakota,Logan,1831
Gackle,ND,North Dakota,Logan,5173
Napoleon,ND,North Dakota,Logan,4855
Amidon,ND,North Dakota,Slope,6935
Marmarth,ND,North Dakota,Slope,6310
Verona,ND,North Dakota,LaMoure,1751
Dickey,ND,North Dakota,LaMoure,5460
Edgeley,ND,North Dakota,LaMoure,4239
Jud,ND,North Dakota,LaMoure,2209
Kulm,ND,North Dakota,LaMoure,4476
LaMoure,ND,North Dakota,LaMoure,1951
Marion,ND,North Dakota,LaMoure,1297
Mott,ND,North Dakota,Hettinger,6016
New England,ND,North Dakota,Hettinger,1107
Regent,ND,North Dakota,Hettinger,1250
Elliott,ND,North Dakota,Ransom,6101
Enderlin,ND,North Dakota,Ransom,297
Fort Ransom,ND,North Dakota,Ransom,2154
Lisbon,ND,North Dakota,Ransom,2928
Wahpeton,ND,North Dakota,Richland,2676
Dwight,ND,North Dakota,Richland,2331
Fairmount,ND,North Dakota,Richland,1703
Great Bend,ND,North Dakota,Richland,4571
Hankinson,ND,North Dakota,Richland,5939
Lidgerwood,ND,North Dakota,Richland,3776
Mantador,ND,North Dakota,Richland,1554
Mooreton,ND,North Dakota,Richland,3574
Fort Yates,ND,North Dakota,Sioux,3999
Pine City,MN,Minnesota,Pine,600
Bangor,ME,Maine,Penobscot,5526
Brewer,ME,Maine,Penobscot,4896
Old Town,ME,Maine,Penobscot,6558
Bucyrus,ND,North Dakota,Adams,2120
Haynes,ND,North Dakota,Adams,5580
Hettinger,ND,North Dakota,Adams,5498
Reeder,ND,North Dakota,Adams,1579
Forman,ND,North Dakota,Sargent,4229
Gwinner,ND,North Dakota,Sargent,1479
Havana,ND,North Dakota,Sargent,1432
Milnor,ND,North Dakota,Sargent,3559
Venturia,ND,North Dakota,McIntosh,2280
Lehr,ND,North Dakota,McIntosh,1801
Ellendale,ND,North Dakota,Dickey,1272
Forbes,ND,North Dakota,Dickey,1950
Fullerton,ND,North Dakota,Dickey,1164
Ludden,ND,North Dakota,Dickey,2333
Monango,ND,North Dakota,Dickey,5882
Oakes,ND,North Dakota,Dickey,3208
Bowman,ND,North Dakota,Bowman,1534
Gascoyne,ND,North Dakota,Bowman,594
Rhame,ND,North Dakota,Bowman,1459
Mound City,SD,South Dakota,Campbell,3419
Claremont,SD,South Dakota,Brown,247
Columbia,SD,South Dakota,Brown,1092
Claire City,SD,South Dakota,Roberts,1542
Corona,SD,South Dakota,Roberts,5761
New Effington,SD,South Dakota,Roberts,1091
Ortley,SD,South Dakota,Roberts,3780
Peever,SD,South Dakota,Roberts,5252
Center City,MN,Minnesota,Chisago,6231
Chisago City,MN,Minnesota,Chisago,2777
Rush City,MN,Minnesota,Chisago,3773
Calais,ME,Maine,Washington,6433
Eastport,ME,Maine,Washington,5873
Bowdle,SD,South Dakota,Edmunds,2533
Pierpont,SD,South Dakota,Day,5071
Eagle Butte,SD,South Dakota,Dewey,2065
Dupree,SD,South Dakota,Ziebach,1220
Lena,WI,Wisconsin,Oconto,1515
Grove City,MN,Minnesota,Meeker,3804
Lake Hallie,WI,Wisconsin,Chippewa,280
Boyd,WI,Wisconsin,Chippewa,6159
Ellsworth,ME,Maine,Hancock,5538
Chelsea,SD,South Dakota,Faulk,6067
Cresbard,SD,South Dakota,Faulk,4554
Onaka,SD,South Dakota,Faulk,3880
Orient,SD,South Dakota,Faulk,5770
Conde,SD,South Dakota,Spink,1163
Doland,SD,South Dakota,Spink,4516
Northville,SD,South Dakota,Spink,6117
Newell,SD,South Dakota,Butte,6518
Nisland,SD,South Dakota,Butte,4630
Boyceville,WI,Wisconsin,Dunn,2845
Clark,SD,South Dakota,Clark,2751
Naples,SD,South Dakota,Clark,5842
Clara City,MN,Minnesota,Chippewa,4963
Bowler,WI,Wisconsin,Shawano,5851
Plattsburgh,NY,New York,Clinton,5076
Ogdensburg,NY,New York,Saint Lawrence,190
Clear Lake,SD,South Dakota,Deuel,5817
Onida,SD,South Dakota,Sully,6980
Belfast,ME,Maine,Waldo,246
Philip,SD,South Dakota,Haakon,4467
Augusta,ME,Maine,Kennebec,4076
Gardiner,ME,Maine,Kennebec,5502
Hallowell,ME,Maine,Kennebec,6454
Waterville,ME,Maine,Kennebec,4284
Zumbrota,MN,Minnesota,Goodhue,6523
Hobart,WI,Wisconsin,Brown,656
Bellevue,WI,Wisconsin,Brown,5077
Suamico,WI,Wisconsin,Brown,6010
Embarrass,WI,Wisconsin,Waupaca,5262
Central City,SD,South Dakota,Lawrence,1615
Deadwood,SD,South Dakota,Lawrence,4869
Pierre,SD,South Dakota,Hughes,4631
De Smet,SD,South Dakota,Kingsbury,5435
Oldham,SD,South Dakota,Kingsbury,4302
Whittemore,MI,Michigan,Iosco,1158
West Branch,MI,Michigan,Ogemaw,2173
New Underwood,SD,South Dakota,Pennington,4046
Auburn,ME,Maine,Androscoggin,2365
Lewiston,ME,Maine,Androscoggin,2819
Lake City,MN,Minnesota,Wabasha,6291
Rockland,ME,Maine,Knox,361
Oacoma,SD,South Dakota,Lyman,5231
Colman,SD,South Dakota,Moody,4310
Nunda,SD,South Dakota,Lake,1097
Minnesota City,MN,Minnesota,Winona,5256
Portland,ME,Maine,Cumberland,6603
South Portland,ME,Maine,Cumberland,2430
Westbrook,ME,Maine,Cumberland,2600
Draper,SD,South Dakota,Jones,5703
Murdo,SD,South Dakota,Jones,6317
Bath,ME,Maine,Sagadahoc,4925
Little Falls,NY,New York,Herkimer,6719
Cottonwood,SD,South Dakota,Jackson,1093
Endeavor,WI,Wisconsin,Marquette,4963
Chamberlain,SD,South Dakota,Brule,4280
Custer,SD,South Dakota,Custer,6051
Mount Vernon,SD,South Dakota,Davison,5686
Colton,SD,South Dakota,Minnehaha,6795
Crooks,SD,South Dakota,Minnehaha,2635
Dell Rapids,SD,South Dakota,Minnehaha,5418
Biddeford,ME,Maine,York,6378
Saco,ME,Maine,York,5953
White Cloud,MI,Michigan,Newaygo,6416
Glens Falls,NY,New York,Warren,478
Colome,SD,South Dakota,Tripp,5264
Fulton,NY,New York,Oswego,5503
Oswego,NY,New York,Oswego,4778
Rome,NY,New York,Oneida,5679
Sherrill,NY,New York,Oneida,1946
Zilwaukee,MI,Michigan,Saginaw,4573
Algona,IA,Iowa,Kossuth,2539
Dante,SD,South Dakota,Charles Mix,5251
Pickstown,SD,South Dakota,Charles Mix,1510
Chancellor,SD,South Dakota,Turner,6639
Davis,SD,South Dakota,Turner,3085
Dolton,SD,South Dakota,Turner,1438
Parker,SD,South Dakota,Turner,6757
Dimock,SD,South Dakota,Hutchinson,6153
Olivet,SD,South Dakota,Hutchinson,2239
Parkston,SD,South Dakota,Hutchinson,4498
Corsica,SD,South Dakota,Douglas,824
Delmont,SD,South Dakota,Douglas,2508
Dallas,SD,South Dakota,Gregory,5460
Oelrichs,SD,South Dakota,Fall River,596
Whitehall,MI,Michigan,Muskegon,4606
Auburn,NY,New York,Cayuga,4726
Mechanicville,NY,New York,Saratoga,497
Saratoga Springs,NY,New York,Saratoga,2897
Lockport,NY,New York,Niagara,3187
Niagara Falls,NY,New York,Niagara,5610
North Tonawanda,NY,New York,Niagara,2236
Rochester,NY,New York,Monroe,5891
Wyoming,MI,Michigan,Kent,342
Gloversville,NY,New York,Fulton,6119
Johnstown,NY,New York,Fulton,3841
Fairmount,NY,New York,Onondaga,3751
Syracuse,NY,New York,Onondaga,1297
Clear Lake,IA,Iowa,Cerro Gordo,4737
Mason City,IA,Iowa,Cerro Gordo,5623
Spencer,IA,Iowa,Clay,3023
Charles City,IA,Iowa,Floyd,6421
Zeeland,MI,Michigan,Ottawa,815
Oneida,NY,New York,Madison,2051
Batavia,NY,New York,Genesee,1609
Buffalo,NY,New York,Erie,5541
Lackawanna,NY,New York,Erie,5055
North Sioux City,SD,South Dakota,Union,547
Fayette,IA,Iowa,Fayette,4139
West Union,IA,Iowa,Fayette,3388
Amsterdam,NY,New York,Montgomery,579
Canandaigua,NY,New York,Ontario,1620
Geneva,NY,New York,Ontario,3068
Rensselaer,NY,New York,Rensselaer,1648
Schenectady,NY,New York,Schenectady,5130
Sioux Rapids,IA,Iowa,Buena Vista,5973
Storm Lake,IA,Iowa,Buena Vista,6837
Rolfe,IA,Iowa,Pocahontas,537
Dakota City,IA,Iowa,Humboldt,1141
Humboldt,IA,Iowa,Humboldt,2261
Hampton,IA,Iowa,Franklin,5756
Sheffield,IA,Iowa,Franklin,876
Sumner,IA,Iowa,Bremer,5921
Waverly,IA,Iowa,Bremer,3493
Oneonta,NY,New York,Otsego,2597
O'Neill,NE,Nebraska,Holt,1172
Wixom,MI,Michigan,Oakland,3178
Lawrence,MA,Massachusetts,Essex,1343
Lynn,MA,Massachusetts,Essex,6815
Salem,MA,Massachusetts,Essex,2290
Beverly,MA,Massachusetts,Essex,5342
Gloucester,MA,Massachusetts,Essex,4475
Newburyport,MA,Massachusetts,Essex,1372
Peabody,MA,Massachusetts,Essex,6302
Bloomfield,NE,Nebraska,Knox,4499
Mount Pleasant,WI,Wisconsin,Racine,153
Albany,NY,New York,Albany,1057
Cohoes,NY,New York,Albany,117
Cortland,NY,New York,Cortland,144
Williamston,MI,Michigan,Ingham,2288
Wayland,MI,Michigan,Allegan,6786
Ponca,NE,Nebraska,Dixon,4814
North Adams,MA,Massachusetts,Berkshire,5025
Norwich,NY,New York,Chenango,2721
Everett,MA,Massachusetts,Middlesex,1951
Lowell,MA,Massachusetts,Middlesex,1253
Marlborough,MA,Massachusetts,Middlesex,1719
Waltham,MA,Massachusetts,Middlesex,5858
Cambridge,MA,Massachusetts,Middlesex,4467
Malden,MA,Massachusetts,Middlesex,5357
Medford,MA,Massachusetts,Middlesex,3746
Melrose,MA,Massachusetts,Middlesex,4021
Newton,MA,Massachusetts,Middlesex,4361
Worcester,MA,Massachusetts,Worcester,1874
Fitchburg,MA,Massachusetts,Worcester,3716
Gardner,MA,Massachusetts,Worcester,3205
Leominster,MA,Massachusetts,Worcester,6801
Dubuque,IA,Iowa,Dubuque,1028
Fort Dodge,IA,Iowa,Webster,4884
Waterloo,IA,Iowa,Black Hawk,5191
Evansdale,IA,Iowa,Black Hawk,2690
Ithaca,NY,New York,Tompkins,3230
Corning,NY,New York,Steuben,5004
Hornell,NY,New York,Steuben,6006
Dunkirk,NY,New York,Chautauqua,956
Jamestown,NY,New York,Chautauqua,543
Sioux City,IA,Iowa,Woodbury,5492
Lake City,IA,Iowa,Calhoun,6470
Webster City,IA,Iowa,Hamilton,148
Eldora,IA,Iowa,Hardin,5764
Northampton,MA,Massachusetts,Hampshire,2161
Olean,NY,New York,Cattaraugus,4985
Salamanca,NY,New York,Cattaraugus,3470
Hudson,NY,New York,Columbia,2290
Boston,MA,Massachusetts,Suffolk,5172
Chelsea,MA,Massachusetts,Suffolk,1516
Revere,MA,Massachusetts,Suffolk,3725
Neligh,NE,Nebraska,Antelope,6587
Ypsilanti,MI,Michigan,Washtenaw,1764
Binghamton,NY,New York,Broome,644
Quincy,MA,Massachusetts,Norfolk,6173
Chicopee,MA,Massachusetts,Hampden,4875
Westfield,MA,Massachusetts,Hampden,1560
West Springfield,MA,Massachusetts,Hampden,321
Holyoke,MA,Massachusetts,Hampden,3184
Springfield,MA,Massachusetts,Hampden,5493
Brockton,MA,Massachusetts,Plymouth,5272
Belle Plaine,IA,Iowa,Benton,3556
Shellsburg,IA,Iowa,Benton,3859
Vinton,IA,Iowa,Benton,6019
Cedar Rapids,IA,Iowa,Linn,172
Elmira,NY,New York,Chemung,1253
Albion,PA,Pennsylvania,Erie,4625
Corry,PA,Pennsylvania,Erie,3144
Cranesville,PA,Pennsylvania,Erie,3465
Edinboro,PA,Pennsylvania,Erie,4832
Elgin,PA,Pennsylvania,Erie,569
Erie,PA,Pennsylvania,Erie,5161
Girard,PA,Pennsylvania,Erie,648
Lake City,PA,Pennsylvania,Erie,5364
McKean,PA,Pennsylvania,Erie,537
Mill Village,PA,Pennsylvania,Erie,4024
North East,PA,Pennsylvania,Erie,4286
Platea,PA,Pennsylvania,Erie,77
Union City,PA,Pennsylvania,Erie,4725
Waterford,PA,Pennsylvania,Erie,5687
Wattsburg,PA,Pennsylvania,Erie,6497
Wesleyville,PA,Pennsylvania,Erie,949
Onawa,IA,Iowa,Monona,682
Carroll,IA,Iowa,Carroll,4995
Manning,IA,Iowa,Carroll,1537
Jefferson,IA,Iowa,Greene,1593
Kingston,NY,New York,Ulster,1617
Chicago,IL,Illinois,Cook,2530
Campton Hills,IL,Illinois,Kane,6883
Attleboro,MA,Massachusetts,Bristol,1112
Fall River,MA,Massachusetts,Bristol,6630
Fairview,NY,New York,Dutchess,5615
Beacon,NY,New York,Dutchess,2228
Poughkeepsie,NY,New York,Dutchess,5636
Oakland,NE,Nebraska,Burt,936
East Hartford,CT,Connecticut,Hartford,4863
Glastonbury Center,CT,Connecticut,Hartford,5751
Hazardville,CT,Connecticut,Hartford,5536
Kensington,CT,Connecticut,Hartford,1382
Crystal Lake,CT,Connecticut,Tolland,963
Clinton,IA,Iowa,Clinton,700
East Brooklyn,CT,Connecticut,Windham,2754
Alba,PA,Pennsylvania,Bradford,1417
Athens,PA,Pennsylvania,Bradford,199
Burlington,PA,Pennsylvania,Bradford,5610
Canton,PA,Pennsylvania,Bradford,4196
Le Raysville,PA,Pennsylvania,Bradford,6126
Monroe,PA,Pennsylvania,Bradford,3418
New Albany,PA,Pennsylvania,Bradford,4477
Rome,PA,Pennsylvania,Bradford,3315
Sayre,PA,Pennsylvania,Bradford,5861
South Waverly,PA,Pennsylvania,Bradford,3097
Sylvania,PA,Pennsylvania,Bradford,3434
Towanda,PA,Pennsylvania,Bradford,3637
Troy,PA,Pennsylvania,Bradford,6202
Wyalusing,PA,Pennsylvania,Bradford,3985
Bradford,PA,Pennsylvania,McKean,4545
Eldred,PA,Pennsylvania,McKean,4540
Kane,PA,Pennsylvania,McKean,2744
Lewis Run,PA,Pennsylvania,McKean,540
Mount Jewett,PA,Pennsylvania,McKean,6257
Port Allegany,PA,Pennsylvania,McKean,574
Smethport,PA,Pennsylvania,McKean,5934
Harlan,IA,Iowa,Shelby,3793
Grinnell,IA,Iowa,Poweshiek,4996
Iowa City,IA,Iowa,Johnson,2705
Eastlake,OH,Ohio,Lake,5377
Grand River,OH,Ohio,Lake,6661
Kirtland,OH,Ohio,Lake,1616
Kirtland Hills,OH,Ohio,Lake,4095
Lakeline,OH,Ohio,Lake,1761
Madison,OH,Ohio,Lake,1990
Mentor,OH,Ohio,Lake,107
Mentor-On-The-Lake,OH,Ohio,Lake,3406
North Perry,OH,Ohio,Lake,5777
Painesville,OH,Ohio,Lake,693
Perry,OH,Ohio,Lake,5646
Timberlake,OH,Ohio,Lake,6369
Waite Hill,OH,Ohio,Lake,4424
Wickliffe,OH,Ohio,Lake,2940
Willoughby,OH,Ohio,Lake,1436
Willoughby Hills,OH,Ohio,Lake,3205
Willowick,OH,Ohio,Lake,6010
Blooming Valley,PA,Pennsylvania,Crawford,5207
Cambridge Springs,PA,Pennsylvania,Crawford,5510
Centerville,PA,Pennsylvania,Crawford,1701
Cochranton,PA,Pennsylvania,Crawford,1599
Conneaut Lake,PA,Pennsylvania,Crawford,4946
Conneautville,PA,Pennsylvania,Crawford,6932
Hydetown,PA,Pennsylvania,Crawford,3383
Linesville,PA,Pennsylvania,Crawford,4998
Meadville,PA,Pennsylvania,Crawford,5692
Saegertown,PA,Pennsylvania,Crawford,6932
Spartansburg,PA,Pennsylvania,Crawford,1197
Springboro,PA,Pennsylvania,Crawford,3535
Titusville,PA,Pennsylvania,Crawford,4926
Townville,PA,Pennsylvania,Crawford,4555
Venango,PA,Pennsylvania,Crawford,1698
Woodcock,PA,Pennsylvania,Crawford,5025
North Bend,NE,Nebraska,Dodge,3732
Scribner,NE,Nebraska,Dodge,4139
Harbor View,OH,Ohio,Lucas,5152
Maumee,OH,Ohio,Lucas,5121
Oregon,OH,Ohio,Lucas,2302
Ottawa Hills,OH,Ohio,Lucas,4864
Toledo,OH,Ohio,Lucas,4185
Bryan,OH,Ohio,Williams,6176
Darien,CT,Connecticut,Fairfield,4003
Georgetown,CT,Connecticut,Fairfield,5622
Factoryville,PA,Pennsylvania,Wyoming,6488
Laceyville,PA,Pennsylvania,Wyoming,1087
Meshoppen,PA,Pennsylvania,Wyoming,1105
Nicholson,PA,Pennsylvania,Wyoming,618
Tunkhannock,PA,Pennsylvania,Wyoming,383
Durham,CT,Connecticut,Middlesex,5299
East Hampton,CT,Connecticut,Middlesex,184
Higganum,CT,Connecticut,Middlesex,6511
East Haven,CT,Connecticut,New Haven,2160
Middletown,NY,New York,Orange,922
Newburgh,NY,New York,Orange,5358
Port Jervis,NY,New York,Orange,1605
Berea,OH,Ohio,Cuyahoga,2050
Bratenahl,OH,Ohio,Cuyahoga,2889
Brecksville,OH,Ohio,Cuyahoga,3842
Broadview Heights,OH,Ohio,Cuyahoga,3903
Brooklyn,OH,Ohio,Cuyahoga,2311
Brooklyn Heights,OH,Ohio,Cuyahoga,5053
Brook Park,OH,Ohio,Cuyahoga,3236
Chagrin Falls,OH,Ohio,Cuyahoga,1037
Cleveland,OH,Ohio,Cuyahoga,920
Cleveland Heights,OH,Ohio,Cuyahoga,6066
Cuyahoga Heights,OH,Ohio,Cuyahoga,4523
East Cleveland,OH,Ohio,Cuyahoga,4553
Euclid,OH,Ohio,Cuyahoga,523
Fairview Park,OH,Ohio,Cuyahoga,5222
Garfield Heights,OH,Ohio,Cuyahoga,1014
Gates Mills,OH,Ohio,Cuyahoga,4290
Glenwillow,OH,Ohio,Cuyahoga,1655
Highland Heights,OH,Ohio,Cuyahoga,2764
Hunting Valley,OH,Ohio,Cuyahoga,3145
Independence,OH,Ohio,Cuyahoga,4773
Lakewood,OH,Ohio,Cuyahoga,6266
Linndale,OH,Ohio,Cuyahoga,4446
Lyndhurst,OH,Ohio,Cuyahoga,5269
Maple Heights,OH,Ohio,Cuyahoga,6502
Mayfield,OH,Ohio,Cuyahoga,3119
Mayfield Heights,OH,Ohio,Cuyahoga,1213
Middleburg Heights,OH,Ohio,Cuyahoga,2166
Moreland Hills,OH,Ohio,Cuyahoga,1066
Johnsonburg,PA,Pennsylvania,Elk,463
Ridgway,PA,Pennsylvania,Elk,400
Saint Marys,PA,Pennsylvania,Elk,98
Tionesta,PA,Pennsylvania,Forest,6579
Emlenton,PA,Pennsylvania,Venango,536
Bowling Green,OH,Ohio,Wood,6468
Northwood,OH,Ohio,Wood,6664
Perrysburg,OH,Ohio,Wood,4103
Rossford,OH,Ohio,Wood,3857
Driftwood,PA,Pennsylvania,Cameron,4228
Emporium,PA,Pennsylvania,Cameron,3617
